patent_id,title,abstract,filing_date,year
1000001,Synthetic Patent Technology 1,This is an advanced synthetic abstract for patent 1,2023-01-01,2023
1000002,Synthetic Patent Technology 2,This is an advanced synthetic abstract for patent 2,2023-01-02,2023
1000003,Synthetic Patent Technology 3,This is an advanced synthetic abstract for patent 3,2023-01-03,2023
1000004,Synthetic Patent Technology 4,This is an advanced synthetic abstract for patent 4,2023-01-04,2023
1000005,Synthetic Patent Technology 5,This is an advanced synthetic abstract for patent 5,2023-01-05,2023
1000006,Synthetic Patent Technology 6,This is an advanced synthetic abstract for patent 6,2023-01-06,2023
1000007,Synthetic Patent Technology 7,This is an advanced synthetic abstract for patent 7,2023-01-07,2023
1000008,Synthetic Patent Technology 8,This is an advanced synthetic abstract for patent 8,2023-01-08,2023
1000009,Synthetic Patent Technology 9,This is an advanced synthetic abstract for patent 9,2023-01-09,2023
1000010,Synthetic Patent Technology 10,This is an advanced synthetic abstract for patent 10,2023-01-10,2023
1000011,Synthetic Patent Technology 11,This is an advanced synthetic abstract for patent 11,2023-01-11,2023
1000012,Synthetic Patent Technology 12,This is an advanced synthetic abstract for patent 12,2023-01-12,2023
1000013,Synthetic Patent Technology 13,This is an advanced synthetic abstract for patent 13,2023-01-13,2023
1000014,Synthetic Patent Technology 14,This is an advanced synthetic abstract for patent 14,2023-01-14,2023
1000015,Synthetic Patent Technology 15,This is an advanced synthetic abstract for patent 15,2023-01-15,2023
1000016,Synthetic Patent Technology 16,This is an advanced synthetic abstract for patent 16,2023-01-16,2023
1000017,Synthetic Patent Technology 17,This is an advanced synthetic abstract for patent 17,2023-01-17,2023
1000018,Synthetic Patent Technology 18,This is an advanced synthetic abstract for patent 18,2023-01-18,2023
1000019,Synthetic Patent Technology 19,This is an advanced synthetic abstract for patent 19,2023-01-19,2023
1000020,Synthetic Patent Technology 20,This is an advanced synthetic abstract for patent 20,2023-01-20,2023
1000021,Synthetic Patent Technology 21,This is an advanced synthetic abstract for patent 21,2023-01-21,2023
1000022,Synthetic Patent Technology 22,This is an advanced synthetic abstract for patent 22,2023-01-22,2023
1000023,Synthetic Patent Technology 23,This is an advanced synthetic abstract for patent 23,2023-01-23,2023
1000024,Synthetic Patent Technology 24,This is an advanced synthetic abstract for patent 24,2023-01-24,2023
1000025,Synthetic Patent Technology 25,This is an advanced synthetic abstract for patent 25,2023-01-25,2023
1000026,Synthetic Patent Technology 26,This is an advanced synthetic abstract for patent 26,2023-01-26,2023
1000027,Synthetic Patent Technology 27,This is an advanced synthetic abstract for patent 27,2023-01-27,2023
1000028,Synthetic Patent Technology 28,This is an advanced synthetic abstract for patent 28,2023-01-28,2023
1000029,Synthetic Patent Technology 29,This is an advanced synthetic abstract for patent 29,2023-01-29,2023
1000030,Synthetic Patent Technology 30,This is an advanced synthetic abstract for patent 30,2023-01-30,2023
1000031,Synthetic Patent Technology 31,This is an advanced synthetic abstract for patent 31,2023-01-31,2023
1000032,Synthetic Patent Technology 32,This is an advanced synthetic abstract for patent 32,2023-02-01,2023
1000033,Synthetic Patent Technology 33,This is an advanced synthetic abstract for patent 33,2023-02-02,2023
1000034,Synthetic Patent Technology 34,This is an advanced synthetic abstract for patent 34,2023-02-03,2023
1000035,Synthetic Patent Technology 35,This is an advanced synthetic abstract for patent 35,2023-02-04,2023
1000036,Synthetic Patent Technology 36,This is an advanced synthetic abstract for patent 36,2023-02-05,2023
1000037,Synthetic Patent Technology 37,This is an advanced synthetic abstract for patent 37,2023-02-06,2023
1000038,Synthetic Patent Technology 38,This is an advanced synthetic abstract for patent 38,2023-02-07,2023
1000039,Synthetic Patent Technology 39,This is an advanced synthetic abstract for patent 39,2023-02-08,2023
1000040,Synthetic Patent Technology 40,This is an advanced synthetic abstract for patent 40,2023-02-09,2023
1000041,Synthetic Patent Technology 41,This is an advanced synthetic abstract for patent 41,2023-02-10,2023
1000042,Synthetic Patent Technology 42,This is an advanced synthetic abstract for patent 42,2023-02-11,2023
1000043,Synthetic Patent Technology 43,This is an advanced synthetic abstract for patent 43,2023-02-12,2023
1000044,Synthetic Patent Technology 44,This is an advanced synthetic abstract for patent 44,2023-02-13,2023
1000045,Synthetic Patent Technology 45,This is an advanced synthetic abstract for patent 45,2023-02-14,2023
1000046,Synthetic Patent Technology 46,This is an advanced synthetic abstract for patent 46,2023-02-15,2023
1000047,Synthetic Patent Technology 47,This is an advanced synthetic abstract for patent 47,2023-02-16,2023
1000048,Synthetic Patent Technology 48,This is an advanced synthetic abstract for patent 48,2023-02-17,2023
1000049,Synthetic Patent Technology 49,This is an advanced synthetic abstract for patent 49,2023-02-18,2023
1000050,Synthetic Patent Technology 50,This is an advanced synthetic abstract for patent 50,2023-02-19,2023
1000051,Synthetic Patent Technology 51,This is an advanced synthetic abstract for patent 51,2023-02-20,2023
1000052,Synthetic Patent Technology 52,This is an advanced synthetic abstract for patent 52,2023-02-21,2023
1000053,Synthetic Patent Technology 53,This is an advanced synthetic abstract for patent 53,2023-02-22,2023
1000054,Synthetic Patent Technology 54,This is an advanced synthetic abstract for patent 54,2023-02-23,2023
1000055,Synthetic Patent Technology 55,This is an advanced synthetic abstract for patent 55,2023-02-24,2023
1000056,Synthetic Patent Technology 56,This is an advanced synthetic abstract for patent 56,2023-02-25,2023
1000057,Synthetic Patent Technology 57,This is an advanced synthetic abstract for patent 57,2023-02-26,2023
1000058,Synthetic Patent Technology 58,This is an advanced synthetic abstract for patent 58,2023-02-27,2023
1000059,Synthetic Patent Technology 59,This is an advanced synthetic abstract for patent 59,2023-02-28,2023
1000060,Synthetic Patent Technology 60,This is an advanced synthetic abstract for patent 60,2023-03-01,2023
1000061,Synthetic Patent Technology 61,This is an advanced synthetic abstract for patent 61,2023-03-02,2023
1000062,Synthetic Patent Technology 62,This is an advanced synthetic abstract for patent 62,2023-03-03,2023
1000063,Synthetic Patent Technology 63,This is an advanced synthetic abstract for patent 63,2023-03-04,2023
1000064,Synthetic Patent Technology 64,This is an advanced synthetic abstract for patent 64,2023-03-05,2023
1000065,Synthetic Patent Technology 65,This is an advanced synthetic abstract for patent 65,2023-03-06,2023
1000066,Synthetic Patent Technology 66,This is an advanced synthetic abstract for patent 66,2023-03-07,2023
1000067,Synthetic Patent Technology 67,This is an advanced synthetic abstract for patent 67,2023-03-08,2023
1000068,Synthetic Patent Technology 68,This is an advanced synthetic abstract for patent 68,2023-03-09,2023
1000069,Synthetic Patent Technology 69,This is an advanced synthetic abstract for patent 69,2023-03-10,2023
1000070,Synthetic Patent Technology 70,This is an advanced synthetic abstract for patent 70,2023-03-11,2023
1000071,Synthetic Patent Technology 71,This is an advanced synthetic abstract for patent 71,2023-03-12,2023
1000072,Synthetic Patent Technology 72,This is an advanced synthetic abstract for patent 72,2023-03-13,2023
1000073,Synthetic Patent Technology 73,This is an advanced synthetic abstract for patent 73,2023-03-14,2023
1000074,Synthetic Patent Technology 74,This is an advanced synthetic abstract for patent 74,2023-03-15,2023
1000075,Synthetic Patent Technology 75,This is an advanced synthetic abstract for patent 75,2023-03-16,2023
1000076,Synthetic Patent Technology 76,This is an advanced synthetic abstract for patent 76,2023-03-17,2023
1000077,Synthetic Patent Technology 77,This is an advanced synthetic abstract for patent 77,2023-03-18,2023
1000078,Synthetic Patent Technology 78,This is an advanced synthetic abstract for patent 78,2023-03-19,2023
1000079,Synthetic Patent Technology 79,This is an advanced synthetic abstract for patent 79,2023-03-20,2023
1000080,Synthetic Patent Technology 80,This is an advanced synthetic abstract for patent 80,2023-03-21,2023
1000081,Synthetic Patent Technology 81,This is an advanced synthetic abstract for patent 81,2023-03-22,2023
1000082,Synthetic Patent Technology 82,This is an advanced synthetic abstract for patent 82,2023-03-23,2023
1000083,Synthetic Patent Technology 83,This is an advanced synthetic abstract for patent 83,2023-03-24,2023
1000084,Synthetic Patent Technology 84,This is an advanced synthetic abstract for patent 84,2023-03-25,2023
1000085,Synthetic Patent Technology 85,This is an advanced synthetic abstract for patent 85,2023-03-26,2023
1000086,Synthetic Patent Technology 86,This is an advanced synthetic abstract for patent 86,2023-03-27,2023
1000087,Synthetic Patent Technology 87,This is an advanced synthetic abstract for patent 87,2023-03-28,2023
1000088,Synthetic Patent Technology 88,This is an advanced synthetic abstract for patent 88,2023-03-29,2023
1000089,Synthetic Patent Technology 89,This is an advanced synthetic abstract for patent 89,2023-03-30,2023
1000090,Synthetic Patent Technology 90,This is an advanced synthetic abstract for patent 90,2023-03-31,2023
1000091,Synthetic Patent Technology 91,This is an advanced synthetic abstract for patent 91,2023-04-01,2023
1000092,Synthetic Patent Technology 92,This is an advanced synthetic abstract for patent 92,2023-04-02,2023
1000093,Synthetic Patent Technology 93,This is an advanced synthetic abstract for patent 93,2023-04-03,2023
1000094,Synthetic Patent Technology 94,This is an advanced synthetic abstract for patent 94,2023-04-04,2023
1000095,Synthetic Patent Technology 95,This is an advanced synthetic abstract for patent 95,2023-04-05,2023
1000096,Synthetic Patent Technology 96,This is an advanced synthetic abstract for patent 96,2023-04-06,2023
1000097,Synthetic Patent Technology 97,This is an advanced synthetic abstract for patent 97,2023-04-07,2023
1000098,Synthetic Patent Technology 98,This is an advanced synthetic abstract for patent 98,2023-04-08,2023
1000099,Synthetic Patent Technology 99,This is an advanced synthetic abstract for patent 99,2023-04-09,2023
1000100,Synthetic Patent Technology 100,This is an advanced synthetic abstract for patent 100,2023-04-10,2023
